Iteration , Total delay [hours] , Total travel time [hours], Total user benefits [monetary units], System welfare (only considering congestion toll revenues
0,255818.4728,1154917.928,9.77E+07,9.77E+07
1,182759.7597,1077136.292,1.00E+08,1.00E+08
2,202065.1286,1094754.675,1.01E+08,1.01E+08
3,182062.4806,1074002.665,1.01E+08,1.01E+08
4,177377.8425,1068431.656,1.01E+08,1.01E+08
5,157797.0761,1047702.306,1.02E+08,1.02E+08
6,149656.425,1038595.323,1.03E+08,1.03E+08
7,190058.6589,1078091.743,1.02E+08,1.02E+08
8,167130.1844,1055076.596,1.02E+08,1.02E+08
9,194556.9592,1081574.759,1.02E+08,1.02E+08
10,165087.5125,1051593.963,1.03E+08,1.03E+08
11,1155492.887,2034355.046,6.09E+07,6.09E+07
12,407361.9092,1296066.636,9.41E+07,9.41E+07
13,246131.4944,1134279.558,1.00E+08,1.00E+08
14,159665.0308,1046909.211,1.02E+08,1.02E+08
15,161074.5017,1046944.294,1.03E+08,1.03E+08
16,144661.6686,1029595.278,1.04E+08,1.04E+08
17,191122.0606,1075184.591,1.02E+08,1.02E+08
18,184097.19,1068252.41,1.03E+08,1.03E+08
19,1155241.486,2029801.566,6.09E+07,6.09E+07
20,227691.5764,1114633.236,1.01E+08,1.01E+08
21,1174046.946,2052917.751,5.94E+07,5.94E+07
22,434724.9503,1323586.186,9.41E+07,9.41E+07
23,388588.2972,1275084.333,9.72E+07,9.72E+07
24,184261.3006,1071109.024,1.03E+08,1.03E+08
25,1034518.805,1911456.798,6.34E+07,6.34E+07
26,394500.0408,1282484.959,9.58E+07,9.58E+07
27,409891.1789,1296200.01,9.63E+07,9.63E+07
28,244407.6281,1131039.296,1.01E+08,1.01E+08
29,263806.4931,1149076.986,1.00E+08,1.00E+08
30,231740.0211,1117305.694,1.02E+08,1.02E+08
31,206556.6136,1090754.509,1.03E+08,1.03E+08
32,172587.29,1056268.561,1.04E+08,1.04E+08
33,242143.1592,1124866.071,1.02E+08,1.02E+08
34,196809.7286,1079065.98,1.04E+08,1.04E+08
35,182692.4597,1065150.995,1.05E+08,1.05E+08
36,256508.4411,1138053.889,1.01E+08,1.01E+08
37,185962.1547,1067807.686,1.05E+08,1.05E+08
38,160381.5086,1041453.892,1.05E+08,1.05E+08
39,174140.2839,1055010.7,1.05E+08,1.05E+08
40,204575.9119,1084707.845,1.04E+08,1.04E+08
41,154981.4669,1035152.039,1.06E+08,1.06E+08
42,151096.1464,1030622.956,1.06E+08,1.06E+08
43,161365.8981,1040169.606,1.06E+08,1.06E+08
44,197587.2736,1076694.124,1.05E+08,1.05E+08
45,152350.8922,1030954.632,1.07E+08,1.07E+08
46,185972.7558,1064169.34,1.05E+08,1.05E+08
47,229467.6358,1107690.195,1.05E+08,1.05E+08
48,185961.6128,1064519.155,1.06E+08,1.06E+08
49,245457.7722,1123565.423,1.04E+08,1.04E+08
50,211167.805,1089421.842,1.05E+08,1.05E+08
51,216086.6908,1094166.616,1.05E+08,1.05E+08
52,251244.0489,1129243.867,1.03E+08,1.03E+08
53,1445283.81,2311845.563,5.50E+07,5.50E+07
54,281827.3758,1163299.5,1.02E+08,1.02E+08
55,334954.8644,1213938.083,1.01E+08,1.01E+08
56,174804.8822,1054202.84,1.06E+08,1.06E+08
57,156068.4139,1034584.689,1.07E+08,1.07E+08
58,173026.5631,1050922.77,1.07E+08,1.07E+08
59,215169.345,1092715.08,1.05E+08,1.05E+08
60,171046.4058,1048569.819,1.07E+08,1.07E+08
61,276690.3781,1153597.505,1.03E+08,1.03E+08
62,207524.3892,1085051.194,1.07E+08,1.07E+08
63,148691.2669,1025757.929,1.08E+08,1.08E+08
64,136190.5494,1012887.449,1.09E+08,1.09E+08
65,247611.4142,1123519.614,1.05E+08,1.05E+08
