Iteration , Total delay [hours] , Total travel time [hours], Total user benefits [monetary units], System welfare (only considering congestion toll revenues
0,256378.7825,1155468.686,9.77E+07,9.77E+07
1,180682.6753,1074953.982,1.01E+08,1.01E+08
2,1101118.771,1988445.934,6.51E+07,6.51E+07
3,251771.2925,1147732.752,9.81E+07,9.81E+07
4,212114.9256,1106001.108,1.00E+08,1.00E+08
5,167142.3344,1059377.367,1.01E+08,1.01E+08
6,162255.7256,1053383.234,1.02E+08,1.02E+08
7,149646.6658,1039731.437,1.02E+08,1.02E+08
8,135864.2461,1024752.634,1.03E+08,1.03E+08
9,920852.4453,1807041.361,7.51E+07,7.51E+07
10,223229.4333,1114652.137,1.00E+08,1.00E+08
11,183593.1178,1073075.373,1.02E+08,1.02E+08
12,180411.5403,1068433.657,1.02E+08,1.02E+08
13,1065826.141,1950128.006,6.57E+07,6.57E+07
14,354526.0781,1245870.848,9.50E+07,9.50E+07
15,271448.4972,1159877.101,9.98E+07,9.98E+07
16,177427.7806,1065465.311,1.03E+08,1.03E+08
17,172732.3658,1059760.272,1.03E+08,1.03E+08
18,189399.4331,1075674.038,1.03E+08,1.03E+08
19,176273.8103,1062100.093,1.03E+08,1.03E+08
20,181490.1964,1066069.988,1.03E+08,1.03E+08
21,142236.0119,1026062.219,1.04E+08,1.04E+08
22,187821.1456,1070948.711,1.03E+08,1.03E+08
23,261605.4375,1145097.15,1.01E+08,1.01E+08
24,405473.6828,1289457.106,9.51E+07,9.51E+07
25,320477.5044,1205061.965,9.86E+07,9.86E+07
26,269965.9603,1153514.866,1.01E+08,1.01E+08
27,216327.6853,1100193.249,1.02E+08,1.02E+08
28,234463.9589,1117623.424,1.02E+08,1.02E+08
29,169096.5086,1052468.171,1.04E+08,1.04E+08
30,215655.9194,1098131.709,1.03E+08,1.03E+08
31,201119.8022,1083676.553,1.03E+08,1.03E+08
32,207534.6825,1089314.808,1.04E+08,1.04E+08
33,179546.6353,1061453.687,1.05E+08,1.05E+08
34,162163.7078,1043219.534,1.05E+08,1.05E+08
35,150306.3331,1030784.039,1.06E+08,1.06E+08
36,200643.4397,1080603.536,1.04E+08,1.04E+08
37,167084.8886,1047255.742,1.05E+08,1.05E+08
38,248288.8903,1127949.976,1.03E+08,1.03E+08
39,242854.9386,1122862.95,1.03E+08,1.03E+08
40,206384.0294,1086486.49,1.05E+08,1.05E+08
41,178323.6906,1057988.488,1.05E+08,1.05E+08
