Iteration , Total delay [hours] , Total congestion toll payments [monetary units] , Total travel time [hours], Total user benefits [monetary units]," System welfare (only considering congestion toll revenues, other revenues are neglected [monetary units]"
0,73242.64583333333,0.0,946371.1097222222,116920095.78781588,116920095.78781588
1,161384.02166666667,0.0,1032659.9816666668,113682818.2385213,113682818.2385213
2,1273576.3338888888,0.0,2142982.053055556,79210143.24304198,79210143.24304198
3,209532.0625,0.0,1084560.7241666666,110503755.61361285,110503755.61361285
4,228669.99944444443,0.0,1101005.8972222223,111531829.23101832,111531829.23101832
5,242950.4305555556,0.0,1115809.5872222222,111203853.14730178,111203853.14730178
6,215101.21083333332,0.0,1087423.9875,111769558.08368076,111769558.08368076
7,233864.86527777775,0.0,1106620.8825,111446515.16259484,111446515.16259484
8,181765.4583333333,0.0,1054250.4886111112,113184335.21541303,113184335.21541303
9,113787.48555555556,0.0,985725.56,114864567.53220108,114864567.53220108
10,134160.36027777777,0.0,1005142.0691666668,114921996.07023457,114921996.07023457
11,147362.98805555556,0.0,1018616.3625,114756010.39120331,114756010.39120331
12,1367047.3852777777,0.0,2222031.303888889,62330869.27974936,62330869.27974936
13,382862.35194444447,0.0,1258225.2227777778,106512382.95399895,106512382.95399895
14,301517.71194444445,0.0,1174439.5494444445,109880599.70209008,109880599.70209008
15,183136.92638888888,0.0,1056436.0772222222,113441861.91947833,113441861.91947833
16,230488.9127777778,0.0,1103099.2305555556,111883868.87419382,111883868.87419382
17,186290.78166666668,0.0,1058922.4186111111,113869109.12483272,113869109.12483272
18,1133379.4608333334,0.0,1992157.105555556,70513702.09932962,70513702.09932962
19,576335.1769444444,0.0,1451406.9161111112,99985576.32860357,99985576.32860357
20,466122.4608333333,0.0,1340243.7205555555,105985266.55660906,105985266.55660906
21,216682.69694444444,0.0,1090974.7144444445,112915026.86096764,112915026.86096764
22,156094.32638888888,0.0,1029783.6375,114836349.21754414,114836349.21754414
23,167028.59805555554,0.0,1039913.5027777776,114486664.7121396,114486664.7121396
24,145093.9322222222,0.0,1017932.5586111112,114998881.5008703,114998881.5008703
