Iteration , Total delay [hours] , Total congestion toll payments [monetary units] , Total travel time [hours], Total user benefits [monetary units]," System welfare (only considering congestion toll revenues, other revenues are neglected [monetary units]"
0,73323.00944444444,0.0,946450.4852777778,116923218.38621278,116923218.38621278
1,106143.28194444445,0.0,977463.9041666668,115246734.9924273,115246734.9924273
2,162035.35666666666,0.0,1033479.9863888888,113714695.12226476,113714695.12226476
3,190302.52416666667,0.0,1062038.7183333333,113165809.16370627,113165809.16370627
4,129151.22805555556,0.0,1000867.0736111111,114512522.81958105,114512522.81958105
5,224506.13055555557,0.0,1095361.5505555556,112493731.07894243,112493731.07894243
6,178994.39333333334,0.0,1051007.905,113218190.47416,113218190.47416
7,290043.6905555556,0.0,1161677.5891666666,111000964.7952076,111000964.7952076
8,233841.8213888889,0.0,1106051.8072222222,112379357.03467172,112379357.03467172
9,183361.5208333333,0.0,1055435.4263888889,113406679.09451954,113406679.09451954
10,175492.73166666666,0.0,1046777.1122222224,114294951.94764404,114294951.94764404
11,129755.89916666668,0.0,1001290.5994444444,115291162.274419,115291162.274419
12,149793.41666666666,0.0,1020415.7255555555,115100344.68657582,115100344.68657582
13,234853.1186111111,0.0,1105656.7122222222,111591742.95648745,111591742.95648745
14,145420.5986111111,0.0,1016321.7297222222,114880426.3058621,114880426.3058621
15,171805.77666666667,0.0,1042522.3497222222,114711836.37266806,114711836.37266806
16,290853.7597222222,0.0,1161683.6588888888,110350081.74157046,110350081.74157046
17,281032.01666666666,0.0,1152794.5702777775,111858015.041084,111858015.041084
18,189334.48944444445,0.0,1061033.5025,114071294.34260446,114071294.34260446
19,208441.94194444444,0.0,1079467.639166667,113623452.11717837,113623452.11717837
20,279652.8669444444,0.0,1151094.3397222222,111416859.91230495,111416859.91230495
21,204560.84472222225,0.0,1076442.0508333333,113879052.27853256,113879052.27853256
22,321906.38916666666,0.0,1193565.4975,110117095.87857716,110117095.87857716
23,197434.4005555556,0.0,1069739.9683333333,113833698.6515976,113833698.6515976
24,151751.9886111111,0.0,1023544.0616666666,115714148.4598301,115714148.4598301
25,171932.7691666667,0.0,1042782.2430555556,115332919.71326604,115332919.71326604
26,194645.2275,0.0,1065766.8733333333,115078236.7432708,115078236.7432708
27,165107.67694444445,0.0,1036514.1330555556,115768337.72099148,115768337.72099148
28,120451.38638888887,0.0,991018.8002777778,117097947.21899624,117097947.21899624
