Iteration , Total delay [hours] , Total travel time [hours], Total user benefits [monetary units], System welfare (only considering congestion toll revenues
0,82613.59139,950963.6925,1.29E+08,1.29E+08
1,129003.8506,996222.61,1.27E+08,1.27E+08
2,163708.3878,1030950.184,1.26E+08,1.26E+08
3,139341.0061,1006961.99,1.27E+08,1.27E+08
4,212945.815,1080392.952,1.26E+08,1.26E+08
5,139063.0108,1007268.759,1.27E+08,1.27E+08
6,190594.8431,1057907.962,1.26E+08,1.26E+08
7,206703.8497,1074309.124,1.26E+08,1.26E+08
8,166228.31,1033967.356,1.27E+08,1.27E+08
9,145235.9842,1013020.348,1.27E+08,1.27E+08
10,174401.8511,1041940.584,1.26E+08,1.26E+08
11,207025.2225,1074375.247,1.25E+08,1.25E+08
12,264744.2664,1132401.527,1.24E+08,1.24E+08
13,173390.4925,1041296.611,1.27E+08,1.27E+08
14,168123.4211,1035785.69,1.27E+08,1.27E+08
15,214554.8506,1082156.527,1.25E+08,1.25E+08
16,238448.4325,1106491.158,1.25E+08,1.25E+08
17,150629.4519,1019115.195,1.27E+08,1.27E+08
18,2113125.738,2964274.486,5.06E+07,5.06E+07
19,469048.0247,1342596.545,1.16E+08,1.16E+08
20,256022.3394,1124408.954,1.25E+08,1.25E+08
21,237741.1853,1106675.273,1.25E+08,1.25E+08
22,159339.7514,1027949.454,1.27E+08,1.27E+08
23,166655.0306,1034915.306,1.26E+08,1.26E+08
24,179400.3864,1047605.287,1.27E+08,1.27E+08
25,221908.1247,1089736.687,1.26E+08,1.26E+08
26,160909.6153,1029205.188,1.27E+08,1.27E+08
27,143618.3067,1011421.868,1.28E+08,1.28E+08
28,113545.7797,981249.6997,1.29E+08,1.29E+08
29,138314.0889,1005403.049,1.28E+08,1.28E+08
30,2016908.121,2863636.806,5.16E+07,5.16E+07
31,420004.1806,1292794.602,1.18E+08,1.18E+08
32,364112.7594,1232599.243,1.22E+08,1.22E+08
33,224302.9178,1093595.622,1.26E+08,1.26E+08
34,314208.2547,1183173.009,1.23E+08,1.23E+08
35,260126.8775,1130082.409,1.25E+08,1.25E+08
36,288047.2261,1157467.779,1.24E+08,1.24E+08
37,234448.475,1103543.709,1.26E+08,1.26E+08
38,163714.4733,1032845.971,1.28E+08,1.28E+08
39,148367.4258,1016975.12,1.29E+08,1.29E+08
40,119546.27,988005.4961,1.29E+08,1.29E+08
41,142918.1128,1011099.293,1.29E+08,1.29E+08
42,171351.7292,1039281.528,1.28E+08,1.28E+08
43,135614.2408,1003839.639,1.29E+08,1.29E+08
44,201131.49,1068953.895,1.28E+08,1.28E+08
45,195550.8939,1063751.604,1.28E+08,1.28E+08
46,142754.1394,1010975.342,1.29E+08,1.29E+08
47,200374.5233,1068179.504,1.27E+08,1.27E+08
48,146014.5539,1014382.252,1.29E+08,1.29E+08
49,213241.9047,1080846.551,1.27E+08,1.27E+08
50,285940.7711,1153663.183,1.25E+08,1.25E+08
51,354516.1817,1223043.833,1.24E+08,1.24E+08
52,158447.7522,1027866.294,1.29E+08,1.29E+08
53,158192.3911,1026432.329,1.29E+08,1.29E+08
54,238305.26,1106540.622,1.27E+08,1.27E+08
55,213086.3614,1081813.571,1.28E+08,1.28E+08
56,264630.7944,1133435.804,1.26E+08,1.26E+08
57,286865.5506,1155842.484,1.25E+08,1.25E+08
58,133986.1986,1003200.83,1.30E+08,1.30E+08
59,164314.8703,1032485.919,1.29E+08,1.29E+08
60,205689.8322,1073961.578,1.28E+08,1.28E+08
61,168176.3553,1036548.567,1.29E+08,1.29E+08
62,1833605.679,2687258.295,6.19E+07,6.19E+07
63,371957.9219,1244282.352,1.22E+08,1.22E+08
64,239341.4178,1108178.953,1.28E+08,1.28E+08
65,280684.74,1149872.072,1.27E+08,1.27E+08
66,207937.2156,1077113.359,1.28E+08,1.28E+08
67,214704.8311,1083592.381,1.28E+08,1.28E+08
68,160392.9022,1029610.331,1.30E+08,1.30E+08
69,194250.7711,1062680.454,1.29E+08,1.29E+08
70,192435.7281,1061035.35,1.29E+08,1.29E+08
71,193657.8169,1062227.096,1.29E+08,1.29E+08
72,170412.1961,1039254.637,1.30E+08,1.30E+08
73,192091.5706,1060684.878,1.29E+08,1.29E+08
74,133243.0106,1002291.878,1.31E+08,1.31E+08
75,140776.45,1008582.748,1.31E+08,1.31E+08
76,163090.7836,1031103.852,1.30E+08,1.30E+08
77,129909.2761,997443.4572,1.31E+08,1.31E+08
78,142402.5992,1009708.049,1.32E+08,1.32E+08
79,195045.1478,1062705.013,1.30E+08,1.30E+08
80,189672.4819,1057435.38,1.30E+08,1.30E+08
81,173921.2672,1041809.848,1.31E+08,1.31E+08
82,215595.6103,1083447.875,1.29E+08,1.29E+08
83,173709.9786,1041804.633,1.31E+08,1.31E+08
84,167143.6292,1034911.177,1.31E+08,1.31E+08
85,170163.8694,1038248.686,1.31E+08,1.31E+08
86,75905.43278,944173.7436,1.34E+08,1.34E+08
87,68471.59528,936636.6953,1.34E+08,1.34E+08
88,67013.5975,935140.9978,1.34E+08,1.34E+08
