Iteration ; Total delay [hours] ; Total congestion toll payments [monetary units] ; Total travel time [hours]; Total user benefits [monetary units]; System welfare (only considering congestion toll revenues, other revenues are neglected [monetary units]
0 ; 1421205.6019444445 ; 0.0 ; 2257987.3127777777 ; 8.655405284126583E7;8.655405284126583E7
1 ; 180509.04111111112 ; 0.0 ; 1050824.8494444445 ; 1.295858227104138E8;1.295858227104138E8
2 ; 170431.46 ; 0.0 ; 1037987.7033333334 ; 1.3050062269456995E8;1.3050062269456995E8
3 ; 121879.96277777778 ; 0.0 ; 989366.8405555555 ; 1.3185889464795752E8;1.3185889464795752E8
4 ; 1636264.3325 ; 0.0 ; 2500403.8372222222 ; 8.798011071701825E7;8.798011071701825E7
5 ; 234932.01694444445 ; 0.0 ; 1106280.6377777779 ; 1.273945383403868E8;1.273945383403868E8
6 ; 136528.05777777778 ; 0.0 ; 1004176.0736111111 ; 1.3092560093606487E8;1.3092560093606487E8
7 ; 204392.02277777778 ; 0.0 ; 1071876.9275 ; 1.2899430000799365E8;1.2899430000799365E8
8 ; 180539.03 ; 0.0 ; 1048070.7125 ; 1.3058501078401041E8;1.3058501078401041E8
9 ; 183509.98833333334 ; 0.0 ; 1051606.2997222221 ; 1.3002999259627874E8;1.3002999259627874E8
10 ; 168884.91666666666 ; 0.0 ; 1036270.7855555556 ; 1.3110102544771801E8;1.3110102544771801E8
11 ; 234890.5013888889 ; 0.0 ; 1102474.1575 ; 1.2915142263211963E8;1.2915142263211963E8
12 ; 203305.66083333333 ; 0.0 ; 1071322.2705555556 ; 1.3022496017076066E8;1.3022496017076066E8
13 ; 178219.19777777776 ; 0.0 ; 1046279.3238888889 ; 1.3099326974357213E8;1.3099326974357213E8
14 ; 201666.23972222224 ; 0.0 ; 1069537.9119444445 ; 1.3020289443653792E8;1.3020289443653792E8
15 ; 297221.1766666667 ; 0.0 ; 1165074.0033333334 ; 1.2740658280903518E8;1.2740658280903518E8
16 ; 210165.9088888889 ; 0.0 ; 1078665.67 ; 1.2886801251240915E8;1.2886801251240915E8
17 ; 247872.04527777777 ; 0.0 ; 1116173.3630555556 ; 1.2928524717734E8;1.2928524717734E8
18 ; 146933.42027777777 ; 0.0 ; 1015828.8738888889 ; 1.3185538173504582E8;1.3185538173504582E8
19 ; 125700.60305555556 ; 0.0 ; 993426.1208333333 ; 1.3261484690699628E8;1.3261484690699628E8
20 ; 181791.31277777778 ; 0.0 ; 1049299.0830555556 ; 1.3126573430729063E8;1.3126573430729063E8
