Iteration ; Total delay [hours] ; Total congestion toll payments [monetary units] ; Total travel time [hours]; Total user benefits [monetary units]; System welfare (only considering congestion toll revenues, other revenues are neglected [monetary units]
0 ; 1164289.2302777779 ; 0.0 ; 2003998.4858333333 ; 8.109534313799189E7;8.109534313799189E7
1 ; 169132.50444444444 ; 0.0 ; 1042091.7238888888 ; 1.1780617169563384E8;1.1780617169563384E8
2 ; 195029.85166666665 ; 0.0 ; 1065679.1527777778 ; 1.1741456876706237E8;1.1741456876706237E8
3 ; 163448.84194444446 ; 0.0 ; 1034493.8025 ; 1.1849050379558207E8;1.1849050379558207E8
4 ; 164516.83583333335 ; 0.0 ; 1035335.6991666667 ; 1.1918009635423781E8;1.1918009635423781E8
5 ; 218304.05805555556 ; 0.0 ; 1088768.0127777779 ; 1.1779969761001752E8;1.1779969761001752E8
6 ; 203401.4586111111 ; 0.0 ; 1074313.525 ; 1.1815630266433118E8;1.1815630266433118E8
7 ; 164806.76111111112 ; 0.0 ; 1035558.4977777777 ; 1.1916453995480703E8;1.1916453995480703E8
8 ; 167441.18805555557 ; 0.0 ; 1038106.1958333333 ; 1.1968331609690824E8;1.1968331609690824E8
9 ; 182602.7775 ; 0.0 ; 1052990.4441666666 ; 1.1929319425544952E8;1.1929319425544952E8
10 ; 164791.91916666666 ; 0.0 ; 1035090.8072222222 ; 1.2020928999919866E8;1.2020928999919866E8
11 ; 152693.5388888889 ; 0.0 ; 1023191.2147222222 ; 1.2017852304063049E8;1.2017852304063049E8
12 ; 202677.64305555556 ; 0.0 ; 1072402.9044444445 ; 1.1875168466929655E8;1.1875168466929655E8
13 ; 196458.48166666666 ; 0.0 ; 1066998.5916666666 ; 1.1875730744548005E8;1.1875730744548005E8
14 ; 236453.38722222223 ; 0.0 ; 1106850.4383333332 ; 1.1844532194384375E8;1.1844532194384375E8
15 ; 174772.03166666668 ; 0.0 ; 1044709.0941666666 ; 1.1997579403489628E8;1.1997579403489628E8
16 ; 204674.7411111111 ; 0.0 ; 1074561.5052777778 ; 1.1942322933261344E8;1.1942322933261344E8
17 ; 207248.8213888889 ; 0.0 ; 1077486.3230555556 ; 1.1868066931742714E8;1.1868066931742714E8
18 ; 234151.20972222224 ; 0.0 ; 1104600.8994444443 ; 1.1847147504396787E8;1.1847147504396787E8
19 ; 227561.83805555556 ; 0.0 ; 1098207.7147222222 ; 1.1837467547381708E8;1.1837467547381708E8
20 ; 173817.60472222223 ; 0.0 ; 1043800.4219444444 ; 1.2043182467107747E8;1.2043182467107747E8
