Iteration , Total delay [hours] , Total travel time [hours], Total user benefits [monetary units], System welfare (only considering congestion toll revenues
0,73281.35,946408.7539,1.17E+08,1.17E+08
1,161662.9175,1032943.484,1.14E+08,1.14E+08
2,1549983.296,2407841.791,6.72E+07,6.72E+07
3,290978.1394,1166943.463,1.09E+08,1.09E+08
4,228606.6625,1101448.34,1.12E+08,1.12E+08
5,148239.4511,1020981.741,1.13E+08,1.13E+08
6,1514848.167,2374144.062,6.85E+07,6.85E+07
7,551613.2983,1428979.861,1.01E+08,1.01E+08
8,226107.6478,1101229.647,1.11E+08,1.11E+08
9,215358.2047,1089399.38,1.12E+08,1.12E+08
10,1518193.449,2378924.303,5.45E+07,5.45E+07
11,561640.5275,1439516.404,9.78E+07,9.78E+07
12,317743.7303,1192804.92,1.09E+08,1.09E+08
13,176735.9225,1052016.375,1.13E+08,1.13E+08
14,138780.7933,1013087.302,1.15E+08,1.15E+08
15,138875.2278,1012513.083,1.15E+08,1.15E+08
16,141817.8875,1015061.807,1.15E+08,1.15E+08
17,141094.2714,1013904.774,1.15E+08,1.15E+08
18,225351.8553,1098031.953,1.13E+08,1.13E+08
19,210498.2644,1083378.131,1.13E+08,1.13E+08
20,232281.3347,1105361.319,1.13E+08,1.13E+08
21,215685.7358,1088639.944,1.14E+08,1.14E+08
22,212609.78,1085722.919,1.13E+08,1.13E+08
23,250461.6603,1123440.037,1.12E+08,1.12E+08
24,156848.8389,1030106.63,1.15E+08,1.15E+08
25,146812.3325,1019136.373,1.16E+08,1.16E+08
26,191265.4636,1063138.863,1.15E+08,1.15E+08
27,154890.6294,1027059.899,1.16E+08,1.16E+08
28,197449.2242,1069077.501,1.15E+08,1.15E+08
29,230938.86,1103250.81,1.14E+08,1.14E+08
30,157126.0158,1029027.173,1.16E+08,1.16E+08
31,156702.1839,1028409.201,1.16E+08,1.16E+08
32,135444.9911,1006748.006,1.17E+08,1.17E+08
33,181733.7619,1052632.77,1.14E+08,1.14E+08
34,160044.0389,1031512.087,1.16E+08,1.16E+08
35,157716.5225,1028448.385,1.16E+08,1.16E+08
36,244582.965,1115018.578,1.13E+08,1.13E+08
37,204641.5528,1076439.349,1.15E+08,1.15E+08
38,243074.8472,1113883.756,1.14E+08,1.14E+08
39,191143.6647,1062213.667,1.16E+08,1.16E+08
40,233570.4644,1104325.123,1.15E+08,1.15E+08
41,220578.3333,1091902.062,1.15E+08,1.15E+08
42,393544.3928,1264898.951,1.09E+08,1.09E+08
43,298072.0147,1170590.605,1.13E+08,1.13E+08
44,184208.7269,1055875.029,1.16E+08,1.16E+08
45,142347.8225,1013505.449,1.17E+08,1.17E+08
46,152351.2967,1022794.438,1.17E+08,1.17E+08
47,173127.2997,1043980.038,1.17E+08,1.17E+08
48,191434.1481,1062057.83,1.17E+08,1.17E+08
49,256500.8581,1127416.116,1.15E+08,1.15E+08
50,233867.3789,1105065.195,1.15E+08,1.15E+08
51,214841.4872,1086337.775,1.16E+08,1.16E+08
52,168479.1114,1039848.862,1.17E+08,1.17E+08
53,136227.0047,1006950.591,1.18E+08,1.18E+08
54,140298.6278,1010523.875,1.18E+08,1.18E+08
55,217172.6053,1087186.645,1.17E+08,1.17E+08
56,209394.6883,1079964.437,1.17E+08,1.17E+08
57,181377.2075,1052081.188,1.18E+08,1.18E+08
58,1751476.532,2604846.861,5.43E+07,5.43E+07
59,430998.3508,1306190.289,1.08E+08,1.08E+08
60,384375.7022,1255760.591,1.12E+08,1.12E+08
61,197652.5614,1069913.134,1.17E+08,1.17E+08
62,183579.9042,1054540.729,1.17E+08,1.17E+08
63,182088.6075,1053225.573,1.17E+08,1.17E+08
64,196460.6825,1067370.3,1.17E+08,1.17E+08
65,122697.3542,993433.3439,1.20E+08,1.20E+08
66,112257.6389,982024.7103,1.20E+08,1.20E+08
67,174300.0533,1043944.477,1.18E+08,1.18E+08
68,163418.8303,1032762.478,1.19E+08,1.19E+08
69,170613.295,1040407.414,1.18E+08,1.18E+08
70,268145.2514,1138248.899,1.16E+08,1.16E+08
71,1829027.161,2683477.589,5.04E+07,5.04E+07
72,429888.8275,1305348.712,1.08E+08,1.08E+08
73,1942919.297,2796785.489,4.58E+07,4.58E+07
74,949477.0161,1822707.502,8.80E+07,8.80E+07
75,263922.0283,1137630.664,1.16E+08,1.16E+08
76,255896.3311,1128094.466,1.16E+08,1.16E+08
77,255510.1819,1127943.354,1.16E+08,1.16E+08
78,146318.6492,1018586.621,1.20E+08,1.20E+08
79,196612.3047,1067942.612,1.17E+08,1.17E+08
80,446714.6972,1318448.213,1.05E+08,1.05E+08
81,204771.755,1077815.775,1.17E+08,1.17E+08
82,160185.3989,1031705.331,1.19E+08,1.19E+08
83,156764.5547,1028100.456,1.19E+08,1.19E+08
84,147955.2042,1018694.809,1.19E+08,1.19E+08
85,219086.9736,1089873.398,1.18E+08,1.18E+08
86,85224.66028,956526.7094,1.23E+08,1.23E+08
87,83087.55944,954263.2297,1.23E+08,1.23E+08
88,95910.13833,967057.5683,1.22E+08,1.22E+08
89,89458.81944,960687.4953,1.23E+08,1.23E+08
90,82951.30556,954194.9689,1.23E+08,1.23E+08
91,82764.82694,953978.5539,1.23E+08,1.23E+08
92,82059.14278,953265.9311,1.23E+08,1.23E+08
93,81892.64139,953089.3497,1.23E+08,1.23E+08
94,81526.39056,952724.2283,1.23E+08,1.23E+08
95,81665.71194,952861.0631,1.23E+08,1.23E+08
96,81257.33417,952437.8972,1.23E+08,1.23E+08
97,81259.63806,952444.6119,1.23E+08,1.23E+08
98,81230.40917,952410.5889,1.23E+08,1.23E+08
99,81314.345,952491.6156,1.23E+08,1.23E+08
100,81251.56083,952427.7219,1.23E+08,1.23E+08
