Iteration , Total delay [hours] , Total travel time [hours], Total user benefits [monetary units], System welfare (only considering congestion toll revenues
0,73457.01611,946589.0558,1.17E+08,1.17E+08
1,164402.6606,1035708.8,1.14E+08,1.14E+08
2,1610622.676,2469929.745,6.65E+07,6.65E+07
3,373569.9928,1250062.944,1.06E+08,1.06E+08
4,283827.365,1156970.632,1.10E+08,1.10E+08
5,175109.1542,1048449.918,1.13E+08,1.13E+08
6,162805.0381,1035662.473,1.13E+08,1.13E+08
7,170120.9428,1043028.934,1.13E+08,1.13E+08
8,155629.8378,1028034.255,1.14E+08,1.14E+08
9,154291.9431,1026396.662,1.14E+08,1.14E+08
10,206437.0028,1078376.154,1.12E+08,1.12E+08
11,250375.91,1122955.231,1.11E+08,1.11E+08
12,174009.2014,1046510.921,1.14E+08,1.14E+08
13,178390.2025,1050599.119,1.13E+08,1.13E+08
14,216881.2936,1089054.788,1.12E+08,1.12E+08
15,163494.6069,1035969.536,1.14E+08,1.14E+08
16,191901.2372,1063776.528,1.13E+08,1.13E+08
17,170118.275,1042015.371,1.15E+08,1.15E+08
18,161308.685,1033070.428,1.15E+08,1.15E+08
19,155676.805,1027264.285,1.14E+08,1.14E+08
20,181774.5811,1053088.671,1.14E+08,1.14E+08
21,168165.1606,1039581.739,1.15E+08,1.15E+08
22,180635.7283,1051913.543,1.14E+08,1.14E+08
23,181165.3806,1052385.497,1.15E+08,1.15E+08
24,228890.5061,1100463.757,1.13E+08,1.13E+08
25,207504.545,1078600.329,1.14E+08,1.14E+08
26,204717.1092,1076368.168,1.14E+08,1.14E+08
27,1642430.208,2506453.37,5.79E+07,5.79E+07
28,472719.6514,1348571.23,1.05E+08,1.05E+08
29,274593.2217,1146765.464,1.12E+08,1.12E+08
30,224787.5292,1096607.154,1.13E+08,1.13E+08
31,456573.3097,1328977.242,1.03E+08,1.03E+08
32,210240.7789,1083704.751,1.14E+08,1.14E+08
33,173423.2044,1045478.679,1.15E+08,1.15E+08
34,158460.2058,1030291.089,1.16E+08,1.16E+08
35,196899.0492,1068232.299,1.15E+08,1.15E+08
36,193923.0703,1065557.502,1.15E+08,1.15E+08
37,222333.3342,1093510.258,1.14E+08,1.14E+08
38,227489.0047,1099556.564,1.15E+08,1.15E+08
39,187467.9144,1059036.364,1.15E+08,1.15E+08
40,201920.6036,1073743.54,1.15E+08,1.15E+08
41,190164.2728,1061685.833,1.16E+08,1.16E+08
42,1741458.507,2597972.848,5.27E+07,5.27E+07
43,783237.1564,1659317.469,9.48E+07,9.48E+07
44,482966.9544,1355773.647,1.07E+08,1.07E+08
45,1679291.857,2537594.422,5.34E+07,5.34E+07
