Iteration , Total delay [hours] , Total travel time [hours], Total user benefits [monetary units], System welfare (only considering congestion toll revenues
0,73407.705,946533.8361,1.17E+08,1.17E+08
1,107394.2506,978701.9708,1.15E+08,1.15E+08
2,168221.5175,1039657.323,1.14E+08,1.14E+08
3,187032.7783,1058832.05,1.13E+08,1.13E+08
4,130438.2408,1002355.891,1.14E+08,1.14E+08
5,255936.9872,1127260.286,1.11E+08,1.11E+08
6,260846.2017,1133141.409,1.11E+08,1.11E+08
7,308372.92,1180814.759,1.10E+08,1.10E+08
8,282271.9069,1155478.548,1.11E+08,1.11E+08
9,240889.7403,1113811.408,1.12E+08,1.12E+08
10,185638.6422,1058365.215,1.14E+08,1.14E+08
11,153401.3286,1025795.227,1.15E+08,1.15E+08
12,136530.2711,1008543.252,1.15E+08,1.15E+08
13,148527.8422,1019865.841,1.15E+08,1.15E+08
14,331231.6956,1202967.227,1.05E+08,1.05E+08
15,127183.5006,999372.0439,1.15E+08,1.15E+08
16,175357.5389,1045855.791,1.14E+08,1.14E+08
17,166503.8372,1037558.842,1.15E+08,1.15E+08
18,252319.0308,1123178.795,1.12E+08,1.12E+08
19,206483.2139,1077756.791,1.14E+08,1.14E+08
20,342664.8781,1213948.559,1.09E+08,1.09E+08
21,263050.485,1134848.092,1.12E+08,1.12E+08
22,195190.815,1067088.803,1.14E+08,1.14E+08
23,160390.2292,1031618.336,1.15E+08,1.15E+08
24,268045.5169,1138853.829,1.12E+08,1.12E+08
25,175144.4731,1047182.202,1.15E+08,1.15E+08
26,397344.2508,1268633.958,1.02E+08,1.02E+08
27,1777804.281,2638401.728,5.08E+07,5.08E+07
28,453619.7539,1330004.859,1.04E+08,1.04E+08
29,247073.7514,1119728.163,1.13E+08,1.13E+08
30,182725.5089,1055522.492,1.15E+08,1.15E+08
31,157653.6194,1029613.303,1.15E+08,1.15E+08
32,211262.1658,1083145.572,1.14E+08,1.14E+08
33,249908.9403,1121666.306,1.14E+08,1.14E+08
34,237116.4233,1109331.969,1.14E+08,1.14E+08
35,215984.3089,1088042.35,1.15E+08,1.15E+08
36,1597676.179,2455599.362,5.80E+07,5.80E+07
37,395930.8125,1272108.572,1.07E+08,1.07E+08
38,417220.4761,1289763.155,1.09E+08,1.09E+08
39,189994.8669,1063184.499,1.15E+08,1.15E+08
40,202843.7147,1075000.862,1.15E+08,1.15E+08
41,147257.0169,1019592.783,1.16E+08,1.16E+08
42,138054.3856,1009927.687,1.17E+08,1.17E+08
43,148463.9408,1019722.109,1.17E+08,1.17E+08
44,195396.0694,1066617.615,1.16E+08,1.16E+08
45,173541.855,1045133.106,1.16E+08,1.16E+08
46,1633107.794,2491817.595,5.81E+07,5.81E+07
47,465722.6856,1341832.595,1.06E+08,1.06E+08
48,373787.6372,1246118.127,1.11E+08,1.11E+08
49,174782.7622,1047523.619,1.16E+08,1.16E+08
50,143252.1442,1015004.877,1.17E+08,1.17E+08
51,145684.5092,1017358.72,1.17E+08,1.17E+08
52,134558.2917,1005570.616,1.18E+08,1.18E+08
53,190887.1483,1061526.023,1.16E+08,1.16E+08
