Iteration , Total delay [hours] , Total travel time [hours], Total user benefits [monetary units], System welfare (only considering congestion toll revenues
0,73257.68139,946383.2558,1.17E+08,1.17E+08
1,106393.3672,977704.105,1.15E+08,1.15E+08
2,1653055.72,2511602.695,6.45E+07,6.45E+07
3,372889.1622,1249210.77,1.06E+08,1.06E+08
4,247715.9392,1121096.862,1.11E+08,1.11E+08
5,240100.4217,1113320.689,1.11E+08,1.11E+08
6,1638499.039,2497999.755,6.43E+07,6.43E+07
7,825105.8822,1702473.666,9.34E+07,9.34E+07
8,266406.4125,1142032.181,1.09E+08,1.09E+08
9,218208.1622,1092344.384,1.12E+08,1.12E+08
10,126935.4725,1000693.891,1.14E+08,1.14E+08
11,231803.3108,1104750.849,1.12E+08,1.12E+08
12,204702.4128,1078090.416,1.12E+08,1.12E+08
13,225526.3739,1098973.476,1.12E+08,1.12E+08
14,209545.6775,1083044.277,1.13E+08,1.13E+08
15,254448.5736,1127838.077,1.11E+08,1.11E+08
16,1507109.101,2370223.303,5.87E+07,5.87E+07
17,847432.9881,1723398.915,9.07E+07,9.07E+07
18,323730.0356,1199322.509,1.09E+08,1.09E+08
19,224506.8528,1099303.051,1.12E+08,1.12E+08
20,170851.0272,1045226.37,1.13E+08,1.13E+08
21,219562.1317,1093071.951,1.12E+08,1.12E+08
22,180250.7231,1053939.566,1.13E+08,1.13E+08
23,229475.7572,1102810.715,1.12E+08,1.12E+08
24,228409.8503,1102086.21,1.13E+08,1.13E+08
25,244008.6142,1118037.923,1.11E+08,1.11E+08
26,303838.2231,1177313.588,1.10E+08,1.10E+08
27,184554.1267,1058488.586,1.14E+08,1.14E+08
28,173621.8931,1046952.796,1.14E+08,1.14E+08
29,138926.9103,1011832.206,1.16E+08,1.16E+08
30,198837.9417,1070809.338,1.14E+08,1.14E+08
31,1600270.954,2465374.094,5.74E+07,5.74E+07
32,498643.0864,1375891.181,1.01E+08,1.01E+08
33,247271.3061,1121046.219,1.12E+08,1.12E+08
34,223897.7542,1097451.738,1.14E+08,1.14E+08
35,1615323.677,2476053.927,5.65E+07,5.65E+07
36,575473.5831,1453741.243,1.01E+08,1.01E+08
37,352191.6833,1226911.488,1.09E+08,1.09E+08
38,362626.0019,1237174.828,1.09E+08,1.09E+08
39,145229.7492,1020084.552,1.16E+08,1.16E+08
40,213068.4078,1086420.573,1.13E+08,1.13E+08
41,167349.5733,1040824.088,1.16E+08,1.16E+08
42,172553.1186,1045901.286,1.15E+08,1.15E+08
43,167973.4086,1040811.521,1.15E+08,1.15E+08
44,183641.2836,1056113.921,1.15E+08,1.15E+08
45,193201.7711,1065520.376,1.14E+08,1.14E+08
46,202515.7644,1075195.11,1.15E+08,1.15E+08
47,256003.4664,1128406.213,1.13E+08,1.13E+08
48,235237.1067,1108053.693,1.14E+08,1.14E+08
49,228558.3433,1101524.319,1.14E+08,1.14E+08
50,231342.9225,1104448.544,1.14E+08,1.14E+08
51,174809.1069,1047151.325,1.16E+08,1.16E+08
52,200639.9672,1072813.521,1.15E+08,1.15E+08
53,148222.7325,1020347.28,1.17E+08,1.17E+08
54,185947.4233,1057534.013,1.16E+08,1.16E+08
55,224778.5853,1096627.774,1.16E+08,1.16E+08
56,144662.5797,1016387.959,1.18E+08,1.18E+08
57,141836.5208,1012885.904,1.18E+08,1.18E+08
58,127921.3744,998794.22,1.18E+08,1.18E+08
59,173299.6917,1043461.02,1.17E+08,1.17E+08
60,146420.8078,1017168.401,1.18E+08,1.18E+08
61,171140.2067,1041702.377,1.18E+08,1.18E+08
62,152869.0936,1023604.171,1.18E+08,1.18E+08
63,209438.7369,1079766.405,1.16E+08,1.16E+08
64,170831.9106,1041427.508,1.18E+08,1.18E+08
65,134868.0025,1005188.567,1.19E+08,1.19E+08
66,138271.8894,1008063.122,1.19E+08,1.19E+08
67,224996.1547,1094737.564,1.16E+08,1.16E+08
68,202017.1531,1072106.779,1.18E+08,1.18E+08
69,159758.035,1030376.143,1.18E+08,1.18E+08
70,218151.7042,1088181.734,1.17E+08,1.17E+08
71,167239.5853,1037472.526,1.18E+08,1.18E+08
72,246232.1642,1116409.481,1.16E+08,1.16E+08
73,203636.6353,1074274.154,1.18E+08,1.18E+08
74,162976.7906,1033580.29,1.19E+08,1.19E+08
75,192657.6692,1062870.854,1.18E+08,1.18E+08
76,196852.0636,1067021.596,1.18E+08,1.18E+08
77,198375.4014,1068641.587,1.18E+08,1.18E+08
78,198839.5017,1068994.423,1.18E+08,1.18E+08
79,196380.9739,1066575.008,1.18E+08,1.18E+08
80,181485.7433,1051243.56,1.19E+08,1.19E+08
81,175105.4786,1044463.724,1.19E+08,1.19E+08
82,158678.4872,1028355.028,1.20E+08,1.20E+08
83,1673208.787,2525640.367,5.70E+07,5.70E+07
84,591808.1672,1466007.659,1.05E+08,1.05E+08
85,235069.3181,1106470.84,1.18E+08,1.18E+08
86,85024.07417,955940.5606,1.22E+08,1.22E+08
87,78280.52306,949032.2678,1.23E+08,1.23E+08
88,76946.51611,947656.3,1.23E+08,1.23E+08
89,75628.22028,946300.9431,1.23E+08,1.23E+08
90,75844.05333,946511.6828,1.23E+08,1.23E+08
91,75614.44444,946279.0194,1.23E+08,1.23E+08
