Iteration , Total delay [hours] , Total travel time [hours], Total user benefits [monetary units], System welfare (only considering congestion toll revenues
0,66249.18306,934308.1847,1.35E+08,1.35E+08
1,140597.6969,1007269.518,1.32E+08,1.32E+08
2,129879.2211,996807.095,1.32E+08,1.32E+08
3,121608.6528,988539.4331,1.33E+08,1.33E+08
4,131685.6361,998390.9744,1.32E+08,1.32E+08
5,148746.5719,1015455.925,1.32E+08,1.32E+08
6,181345.9503,1048544.889,1.31E+08,1.31E+08
7,185671.4725,1052457.959,1.32E+08,1.32E+08
8,133269.6028,1000455.427,1.32E+08,1.32E+08
9,140265.08,1006928.109,1.32E+08,1.32E+08
10,2027555.432,2876940.561,5.73E+07,5.73E+07
11,492885.6978,1365223.444,1.20E+08,1.20E+08
12,256149.5856,1124475.603,1.29E+08,1.29E+08
13,163803.3556,1031677.877,1.30E+08,1.30E+08
14,160793.6817,1028313.108,1.32E+08,1.32E+08
15,203302.1217,1070767.748,1.30E+08,1.30E+08
16,220518.6542,1088045.808,1.30E+08,1.30E+08
17,176202.1461,1044066.528,1.31E+08,1.31E+08
18,165920.4092,1033846.885,1.31E+08,1.31E+08
19,153854.3942,1021324.753,1.32E+08,1.32E+08
20,235871.0153,1102985.737,1.30E+08,1.30E+08
21,231640.0967,1099209.44,1.30E+08,1.30E+08
22,246369.1333,1113999.798,1.30E+08,1.30E+08
23,224531.4519,1092632.185,1.31E+08,1.31E+08
24,195932.1606,1063754.619,1.31E+08,1.31E+08
25,195947.2761,1064053.971,1.31E+08,1.31E+08
26,198886.3497,1066787.069,1.31E+08,1.31E+08
27,201308.3206,1069331.011,1.32E+08,1.32E+08
28,168652.4308,1036626.133,1.32E+08,1.32E+08
29,211993.1422,1079389.483,1.31E+08,1.31E+08
30,286642.8042,1154379.284,1.29E+08,1.29E+08
31,182257.4239,1050860.492,1.32E+08,1.32E+08
32,195088.8936,1062740.009,1.32E+08,1.32E+08
33,180216.8028,1047887.644,1.33E+08,1.33E+08
34,227729.4858,1095790.42,1.31E+08,1.31E+08
