Iteration , Total delay [hours] , Total travel time [hours], Total user benefits [monetary units], System welfare (only considering congestion toll revenues
0,74527.97361,945173.3122,1.23E+08,1.23E+08
1,144514.7322,1013442.875,1.20E+08,1.20E+08
2,188032.22,1057280.216,1.19E+08,1.19E+08
3,1607304.743,2461699.991,7.17E+07,7.17E+07
4,401788.7742,1275595.833,1.12E+08,1.12E+08
5,334341.4553,1205196.233,1.15E+08,1.15E+08
6,191688.0736,1062737.9,1.18E+08,1.18E+08
7,222705.0478,1093500.472,1.18E+08,1.18E+08
8,167400.6722,1038315.776,1.19E+08,1.19E+08
9,200108.2608,1070546.484,1.19E+08,1.19E+08
10,173039.4147,1043664.653,1.20E+08,1.20E+08
11,233855.6686,1103980.538,1.17E+08,1.17E+08
12,208408.3086,1079246.204,1.19E+08,1.19E+08
13,141023.3658,1011344.896,1.21E+08,1.21E+08
14,119282.7242,988897.4475,1.22E+08,1.22E+08
15,195959.9481,1065190.634,1.20E+08,1.20E+08
16,197259.4458,1067133.439,1.19E+08,1.19E+08
17,1940014.177,2795050.503,4.86E+07,4.86E+07
18,415281.3058,1290228.75,1.11E+08,1.11E+08
19,335190.5347,1206340.328,1.16E+08,1.16E+08
20,292937.1553,1164063.055,1.16E+08,1.16E+08
21,290106.2217,1161370.807,1.17E+08,1.17E+08
22,212297.6406,1083608.97,1.19E+08,1.19E+08
23,1743078.162,2600687.893,5.82E+07,5.82E+07
24,455077.7706,1331088.521,1.09E+08,1.09E+08
25,262017.9614,1134421.111,1.17E+08,1.17E+08
26,234635.0556,1106853.938,1.19E+08,1.19E+08
27,172368.9008,1044306.14,1.20E+08,1.20E+08
28,250850.8333,1122424.847,1.18E+08,1.18E+08
29,174203.3403,1045553.109,1.21E+08,1.21E+08
30,128663.3289,999862.2689,1.22E+08,1.22E+08
31,253243.2244,1123693.546,1.18E+08,1.18E+08
32,205336.6564,1076480.663,1.20E+08,1.20E+08
33,173812.0319,1044640.569,1.21E+08,1.21E+08
