Scenario,Seed,Truck,Total Time (seconds),Total Distance (meters),Average Time (seconds),Average Distance (meters)
2,141,Davis_518,0.0,0.0,2747.25,17367.08156554
2,141,SLC_520,2791.0,21149.672692199998,2747.25,17367.08156554
2,141,Utah_County_502,0.0,0.0,2747.25,17367.08156554
2,141,Utah_County_524,992.0,30462.231255999992,2747.25,17367.08156554
2,141,Davis_526,0.0,0.0,2747.25,17367.08156554
2,141,SLC_514,688.0,17157.3990476,2747.25,17367.08156554
2,141,Davis_506,0.0,0.0,2747.25,17367.08156554
2,141,Utah_County_521,0.0,0.0,2747.25,17367.08156554
2,141,SLC_517,660.0,17789.547799600005,2747.25,17367.08156554
2,141,SLC_519,634.0,15472.098199600001,2747.25,17367.08156554
2,141,NEW_Utah_County_533,0.0,0.0,2747.25,17367.08156554
2,141,NEW_Utah_County_532,0.0,0.0,2747.25,17367.08156554
2,141,NEW_SLC_511,0.0,0.0,2747.25,17367.08156554
2,141,NEW_Davis_530,0.0,0.0,2747.25,17367.08156554
2,141,NEW_Davis_531,0.0,0.0,2747.25,17367.08156554
2,141,Davis_529,0.0,0.0,2747.25,17367.08156554
2,141,SLC_510,274.0,6168.8094341999995,2747.25,17367.08156554
2,141,SLC_523,1075.0,28741.508834599997,2747.25,17367.08156554
2,141,Utah_County_513,27678.0,70630.66563980002,2747.25,17367.08156554
2,141,SLC_525,0.0,0.0,2747.25,17367.08156554
2,141,SLC_505,691.0,19196.2236134,2747.25,17367.08156554
2,141,SLC_527,7880.0,46144.654100199994,2747.25,17367.08156554
2,141,NEW_SLC_507,0.0,0.0,2747.25,17367.08156554
2,141,NEW_SLC_508,0.0,0.0,2747.25,17367.08156554
2,141,Utah_County_516,3606.0,33452.4332562,2747.25,17367.08156554
2,141,NEW_SLC_509,0.0,0.0,2747.25,17367.08156554
2,141,Davis_512,0.0,0.0,2747.25,17367.08156554
2,141,SLC_528,7976.0,40976.387437399986,2747.25,17367.08156554
2,141,NEW_SLC_503,0.0,0.0,2747.25,17367.08156554
2,141,NEW_SLC_504,0.0,0.0,2747.25,17367.08156554
3,141,Davis_518,0.0,0.0,1507.5333333333333,8687.46998638
3,141,SLC_520,4741.0,21149.672692199998,1507.5333333333333,8687.46998638
3,141,Utah_County_502,0.0,0.0,1507.5333333333333,8687.46998638
3,141,Utah_County_524,1001.0,30462.231255999992,1507.5333333333333,8687.46998638
3,141,Davis_526,0.0,0.0,1507.5333333333333,8687.46998638
3,141,SLC_514,0.0,0.0,1507.5333333333333,8687.46998638
3,141,Davis_506,0.0,0.0,1507.5333333333333,8687.46998638
3,141,Utah_County_521,0.0,0.0,1507.5333333333333,8687.46998638
3,141,SLC_517,600.0,17789.547799600005,1507.5333333333333,8687.46998638
3,141,SLC_519,565.0,15472.098199600001,1507.5333333333333,8687.46998638
3,141,NEW_Utah_County_533,0.0,0.0,1507.5333333333333,8687.46998638
3,141,NEW_Utah_County_532,275.0,7848.6385262,1507.5333333333333,8687.46998638
3,141,NEW_SLC_511,4683.0,18409.996649800003,1507.5333333333333,8687.46998638
3,141,NEW_Davis_530,0.0,0.0,1507.5333333333333,8687.46998638
3,141,NEW_Davis_531,0.0,0.0,1507.5333333333333,8687.46998638
3,141,Davis_529,0.0,0.0,1507.5333333333333,8687.46998638
3,141,SLC_510,262.0,6168.8094341999995,1507.5333333333333,8687.46998638
3,141,SLC_523,0.0,0.0,1507.5333333333333,8687.46998638
3,141,Utah_County_513,0.0,0.0,1507.5333333333333,8687.46998638
3,141,SLC_525,0.0,0.0,1507.5333333333333,8687.46998638
3,141,SLC_505,571.0,14248.018102200002,1507.5333333333333,8687.46998638
3,141,SLC_527,12106.0,38373.7949762,1507.5333333333333,8687.46998638
3,141,NEW_SLC_507,0.0,0.0,1507.5333333333333,8687.46998638
3,141,NEW_SLC_508,4699.0,26824.736614399993,1507.5333333333333,8687.46998638
3,141,Utah_County_516,3611.0,33452.4332562,1507.5333333333333,8687.46998638
3,141,NEW_SLC_509,527.0,11004.634733199997,1507.5333333333333,8687.46998638
3,141,Davis_512,0.0,0.0,1507.5333333333333,8687.46998638
3,141,SLC_528,11585.0,19419.487351599997,1507.5333333333333,8687.46998638
3,141,NEW_SLC_503,0.0,0.0,1507.5333333333333,8687.46998638
3,141,NEW_SLC_504,0.0,0.0,1507.5333333333333,8687.46998638
2,167,Davis_518,8990.0,38352.56778159999,5257.1,23033.73105355
2,167,SLC_520,445.0,11803.784697,5257.1,23033.73105355
2,167,Utah_County_502,395.0,12450.7876572,5257.1,23033.73105355
2,167,Utah_County_524,615.0,16279.487984200005,5257.1,23033.73105355
2,167,Davis_526,0.0,0.0,5257.1,23033.73105355
2,167,SLC_514,16046.0,45122.2243048,5257.1,23033.73105355
2,167,Davis_506,0.0,0.0,5257.1,23033.73105355
2,167,Utah_County_521,851.0,27351.650623800004,5257.1,23033.73105355
2,167,SLC_517,163.0,5619.895747000001,5257.1,23033.73105355
2,167,SLC_519,7909.0,13578.226887600005,5257.1,23033.73105355
2,167,NEW_Utah_County_533,0.0,0.0,5257.1,23033.73105355
