Incident ID,Class,Affected Volume,Total Excess Travel time,Date ,Time,Location,Lattitude,Longitude,Lanes,Lanes Closed,Capacity reduction (w/ TWA),Lanes closed  (TWA),RCT,RCT [min],ICT for IMT,ICT for IMT [min],Responding IMTs,Inflated time,MATSim Link,Start Time (sec),End Time (sec)
6,1,27602,155.73,3/13/2018,2:32:03 PM,3300 S I15 SB,40.7,-111.9,4,1,0.25,1,12:14:57 AM,15,12:42:45 AM,42.8,1,52.7,24897,52323,55485
118,3,25834,406.61,7/11/2018,7:49:24 AM,3300 S I15 NB,40.7,-111.9,5,3,0.2,1,12:25:36 AM,25.6,12:36:18 AM,36.3,2,44.7,30859,28164,30846
174,5,23063,3268.53,5/2/2018,3:23:34 PM,10000 S I15 NB,40.57,-111.9,6,2,0.21,1.25,12:13:26 AM,13.4,1:15:56 AM,75.9,2,93.5,24522,55414,61024
77,2,22548,385.17,5/3/2018,1:51:18 PM,8900 S I15 NB,40.59,-111.9,6,1,0.17,1,12:20:42 AM,20.7,12:43:39 AM,43.6,2,53.8,31665,49878,53106
187,5,21447,2586.01,8/23/2018,6:42:45 AM,8500 S I15 NB,40.59,-111.9,6,2,0.27,1.62,12:50:15 AM,50.3,12:44:55 AM,44.9,1,55.3,30667,24165,27483
151,4,20647,1108.43,6/15/2018,2:56:13 PM,600 N I15 NB,40.77,-111.91,5,1,0.2,1,12:28:47 AM,28.8,12:45:41 AM,45.7,1,56.3,33550,53773,57151
178,5,19376,6338.41,5/30/2018,3:25:45 PM,600 S I15 NB,40.74,-111.9,5,3,0.53,2.66,1:52:15 AM,112.3,1:41:03 AM,101,2,124.5,37500,55545,63015
181,5,18748,4450.53,6/21/2018,3:41:53 PM,2100 S I15 NB,40.72,-111.9,4,4,0.57,2.26,1:43:07 AM,103.1,12:57:46 AM,57.8,1,71.2,24514,56513,60785
149,4,17452,1253.43,6/12/2018,4:06:03 PM,900 N I15 NB,40.79,-111.92,3,3,0.49,1.47,12:16:57 AM,17,12:50:25 AM,50.4,1,62.1,46144,57963,61689
156,4,17005,1300.05,7/9/2018,7:50:44 AM,9800 S I15 NB,40.57,-111.9,6,1,0.17,1,12:00:16 AM,0.3,1:13:19 AM,73.3,1,90.3,30648,28244,33662
160,4,16368,1469.07,7/25/2018,4:44:39 PM,8000 S I15 SB,40.62,-111.91,4,3,0.32,1.29,1:08:21 AM,68.4,12:55:40 AM,55.7,2,68.6,42111,60279,64395
125,3,16346,726.11,8/8/2018,4:14:04 PM,273001 I15 SB,40.34,-111.76,6,1,0.17,1,12:10:56 AM,10.9,12:35:34 AM,35.6,1,43.8,4554,58444,61072
10,1,15160,198.83,3/26/2018,9:27:01 AM,11400 S I15 SB,40.56,-111.9,6,1,0.17,1,1:02:59 AM,63,1:35:01 AM,95,2,117.1,2841,34021,41047
154,4,15051,1112.69,6/22/2018,1:00:52 PM,9400 S I15 NB,40.57,-111.9,6,1,0.17,1,12:03:08 AM,3.1,1:06:35 AM,66.6,2,82,30673,46852,51772
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
