MATSim Link,ID,Responding IMTs,Start Time (sec),End Time (sec),Capacity reduction (w/ TWA)
1,1,1,7895,9695,0.8
2,2,2,1245,3045,0.8
3,3,1,18674,20474,0.8
4,4,2,25498,27298,0.8
5,5,1,29456,31256,0.8
6,6,2,34215,36015,0.8
7,7,1,38475,40275,0.8
8,8,2,45789,47589,0.8
9,9,1,65789,67589,0.8
10,10,2,14789,16589,0.8
11,11,1,2398,4198,0.8
12,12,2,22145,23945,0.8
13,13,1,54789,56589,0.8
14,14,2,22658,24458,0.8
15,15,1,33458,35258,0.8
16,16,2,66478,68278,0.8
17,17,1,25875,27675,0.8
18,18,2,15489,17289,0.8
19,19,1,64587,66387,0.8
20,20,2,23589,25389,0.8
21,21,1,12458,14258,0.8
22,22,2,63521,65321,0.8
23,23,1,20333,22133,0.8
