trip_id,person_id,number_of_participants,trip_mode,PlanElementIndex,ActivityElement,ActivityType,x,y,departure_time
,26478,,,1,activity,Home,-122.4120083,37.78440644,11.651
8684833,26478,1,WALK,2,leg,,,,
,26478,,,3,activity,eatout,-122.398143,37.78754015,11.948
8684837,26478,1,WALK,4,leg,,,,
,26478,,,5,activity,home,-122.4100677,37.78410356,12.189
8685009,26478,1,BIKE,6,leg,,,,
,26478,,,7,activity,othmaint,-122.4158383,37.77689193,13.547
8685013,26478,1,BIKE,8,leg,,,,
,26478,,,9,activity,home,-122.4120083,37.78440644,
,26686,,,1,activity,Home,-122.4097259,37.78273539,12.672
8753233,26686,1,BIKE,2,leg,,,,
,26686,,,3,activity,othmaint,-122.4151125,37.7817649,13.323
8753237,26686,1,WALK,4,leg,,,,
,26686,,,5,activity,home,-122.4112042,37.78424784,19.697
8753057,26686,1,WALK,6,leg,,,,
,26686,,,7,activity,eatout,-122.4083551,37.79008991,19.868
8753061,26686,1,WALK,8,leg,,,,
,26686,,,9,activity,home,-122.4097259,37.78273539,
,26844,,,1,activity,Home,-122.414087,37.78382886,8.522
8805121,26844,1,WALK,2,leg,,,,
,26844,,,3,activity,social,-122.4104355,37.7862248,12.024
8805125,26844,1,WALK,4,leg,,,,
,26844,,,5,activity,othmaint,-122.4115051,37.78609792,12.051
8805126,26844,1,WALK,6,leg,,,,
,26844,,,7,activity,home,-122.414087,37.78382886,
,27726,,,1,activity,Home,-122.4137433,37.77936896,8.401
9094329,27726,1,WALK,2,leg,,,,
,27726,,,3,activity,othdiscr,-122.4164436,37.78004395,10.488
9094333,27726,1,WALK,4,leg,,,,
,27726,,,5,activity,home,-122.4137433,37.77936896,
,29625,,,1,activity,Home,-122.3884801,37.78530218,15.754
9717265,29625,1,WALK,2,leg,,,,
,29625,,,3,activity,shopping,-122.3887726,37.78797645,15.84
9717269,29625,1,WALK,4,leg,,,,
,29625,,,5,activity,home,-122.3884801,37.78530218,
,107628,,,1,activity,Home,-122.4131994,37.78884901,12.325
35302033,107628,1,WALK,2,leg,,,,
,107628,,,3,activity,eatout,-122.4094288,37.78846567,12.484
35302037,107628,1,WALK,4,leg,,,,
,107628,,,5,activity,home,-122.4131994,37.78884901,
,112064,,,1,activity,Home,-122.3914845,37.79024501,12.466
36757193,112064,1,WALK,2,leg,,,,
,112064,,,3,activity,othdiscr,-122.4019223,37.77942496,14.536
36757197,112064,1,TAXI,4,leg,,,,
,112064,,,5,activity,home,-122.3915235,37.79070819,16.768
36757257,112064,1,WALK,6,leg,,,,
,112064,,,7,activity,shopping,-122.4065983,37.79127336,17.046
36757261,112064,1,WALK,8,leg,,,,
,112064,,,9,activity,home,-122.3914845,37.79024501,
,264107,,,1,activity,Home,-122.4173359,37.78120336,7.946
86627409,264107,1,WALK_LRF,2,leg,,,,
,264107,,,3,activity,work,-122.401462,37.79483763,19.653
86627413,264107,1,WALK_LRF,4,leg,,,,
,264107,,,5,activity,home,-122.4173359,37.78120336,
,264108,,,1,activity,Home,-122.4173764,37.77857644,10.523
86627625,264108,1,WALK,2,leg,,,,
,264108,,,3,activity,othdiscr,-122.406629,37.77195133,11.077
86627629,264108,1,WALK,4,leg,,,,
,264108,,,5,activity,home,-122.4173764,37.77857644,
,264248,,,1,activity,Home,-122.4141284,37.77742385,7.613
86673657,264248,1,WALK,2,leg,,,,
,264248,,,3,activity,othmaint,-122.4107881,37.78544745,8.158
86673658,264248,1,WALK,4,leg,,,,
,264248,,,5,activity,eatout,-122.4111879,37.78713445,8.517
86673659,264248,1,WALK,6,leg,,,,
,264248,,,7,activity,escort,-122.4142835,37.78643411,8.655
86673660,264248,1,WALK,8,leg,,,,
,264248,,,9,activity,work,-122.3945157,37.79677776,19.449
86673661,264248,1,WALK_LRF,10,leg,,,,
,264248,,,11,activity,home,-122.4141284,37.77742385,
,323689,,,1,activity,Home,-122.4154325,37.77449762,11.125
106170305,323689,1,WALK_LRF,2,leg,,,,
,323689,,,3,activity,work,-122.3993258,37.79151347,18.424
106170309,323689,1,WALK_LRF,4,leg,,,,
,323689,,,5,activity,home,-122.4154325,37.77449762,
,324051,,,1,activity,Home,-122.3909843,37.78790821,6.119
106289041,324051,1,WALK,2,leg,,,,
,324051,,,3,activity,work,-122.3998681,37.79039723,18.515
106289045,324051,1,WALK,4,leg,,,,
,324051,,,5,activity,home,-122.3909843,37.78790821,
,324052,,,1,activity,Home,-122.392094,37.79072969,7.502
106289369,324052,1,WALK,2,leg,,,,
,324052,,,3,activity,work,-122.4031521,37.79263872,10.098
106289089,324052,1,WALK,4,leg,,,,
,324052,,,5,activity,eatout,-122.4122952,37.78713663,10.291
106289090,324052,1,WALK,6,leg,,,,
,324052,,,7,activity,escort,-122.4098052,37.78782647,10.381
106289091,324052,1,WALK,8,leg,,,,
,324052,,,9,activity,othmaint,-122.4125876,37.78637555,10.446
106289092,324052,1,WALK,10,leg,,,,
,324052,,,11,activity,atwork,-122.4050125,37.79512871,10.763
106289093,324052,1,WALK,12,leg,,,,
,324052,,,13,activity,work,-122.4038512,37.79306139,17.92
106289373,324052,1,WALK,14,leg,,,,
,324052,,,15,activity,home,-122.392094,37.79072969,
,324909,,,1,activity,Home,-122.3952719,37.78890049,6.89
106570465,324909,1,WALK_LOC,2,leg,,,,
,324909,,,3,activity,work,-122.4033134,37.78964168,15.001
106570469,324909,1,WALK,4,leg,,,,
,324909,,,5,activity,home,-122.3984066,37.78489887,16.519
106570377,324909,1,WALK_LOC,6,leg,,,,
,324909,,,7,activity,othmaint,-122.4100003,37.78768908,16.952
106570381,324909,1,WALK_LOC,8,leg,,,,
,324909,,,9,activity,shopping,-122.4082608,37.78388834,18.389
106570382,324909,1,WALK_LOC,10,leg,,,,
,324909,,,11,activity,othmaint,-122.4145306,37.78626558,19.171
106570383,324909,1,WALK_LOC,12,leg,,,,
,324909,,,13,activity,home,-122.3952719,37.78890049,
,325431,,,1,activity,Home,-122.3947024,37.78676393,7.061
106741681,325431,1,WALK,2,leg,,,,
,325431,,,3,activity,shopping,-122.406757,37.79641284,8.607
106741682,325431,1,WALK,4,leg,,,,
,325431,,,5,activity,work,-122.4012046,37.78786823,17.143
106741685,325431,1,WALK,6,leg,,,,
,325431,,,7,activity,eatout,-122.4147251,37.78693726,17.164
106741686,325431,1,WALK_LOC,8,leg,,,,
,325431,,,9,activity,shopping,-122.4079821,37.7960615,17.761
106741687,325431,1,WALK_LOC,10,leg,,,,
,325431,,,11,activity,escort,-122.411554,37.78606523,17.812
106741688,325431,1,WALK,12,leg,,,,
,325431,,,13,activity,home,-122.3947024,37.78676393,
,325432,,,1,activity,Home,-122.3961246,37.78352157,12.22
106741961,325432,1,WALK_LOC,2,leg,,,,
,325432,,,3,activity,shopping,-122.3942883,37.79045053,13.251
106741965,325432,1,WALK_LOC,4,leg,,,,
,325432,,,5,activity,home,-122.3961246,37.78352157,
,325623,,,1,activity,Home,-122.3936607,37.78574003,8.476
106804657,325623,1,WALK,2,leg,,,,
,325623,,,3,activity,work,-122.3944834,37.78166224,10.555
106804661,325623,1,WALK,4,leg,,,,
,325623,,,5,activity,escort,-122.4134118,37.78035828,10.873
106804662,325623,1,WALK,6,leg,,,,
,325623,,,7,activity,work,-122.4126998,37.78555415,10.954
106804663,325623,1,WALK,8,leg,,,,
,325623,,,9,activity,home,-122.3935135,37.78916858,16.999
106804593,325623,1,TNC_SHARED,10,leg,,,,
,325623,,,11,activity,univ,-122.3966977,37.78812957,17.96
106804597,325623,1,TNC_SHARED,12,leg,,,,
,325623,,,13,activity,escort,-122.4113364,37.78540029,18.634
106804598,325623,1,WALK_LOC,14,leg,,,,
,325623,,,15,activity,home,-122.3936607,37.78574003,
,325624,,,1,activity,Home,-122.3995792,37.7845766,6.344
106804985,325624,1,WALK,2,leg,,,,
,325624,,,3,activity,work,-122.3935723,37.79101501,17.486
106804989,325624,1,WALK,4,leg,,,,
,325624,,,5,activity,home,-122.3995792,37.7845766,
,386007,,,1,activity,Home,-122.4175807,37.78049228,7.612
126610345,386007,1,WALK,2,leg,,,,
,386007,,,3,activity,eatout,-122.4125297,37.78115321,12.389
126610349,386007,1,WALK,4,leg,,,,
,386007,,,5,activity,home,-122.4181564,37.78224069,13.448
126610561,386007,1,WALK_LRF,6,leg,,,,
,386007,,,7,activity,shopping,-122.3928633,37.78891828,14.38
126610565,386007,1,WALK_LOC,8,leg,,,,
,386007,,,9,activity,shopping,-122.4135144,37.78448621,14.422
126610566,386007,1,WALK,10,leg,,,,
,386007,,,11,activity,home,-122.4175807,37.78049228,
,386008,,,1,activity,Home,-122.4189353,37.78143897,8.082
126610873,386008,1,WALK,2,leg,,,,
,386008,,,3,activity,school,-122.4153785,37.78202752,13.709
126610877,386008,1,WALK,4,leg,,,,
,386008,,,5,activity,home,-122.4205716,37.78321717,17.831
126610673,386008,1,WALK_LRF,6,leg,,,,
,386008,,,7,activity,eatout,-122.3907473,37.79190593,21.678
126610677,386008,1,WALK_LRF,8,leg,,,,
,386008,,,9,activity,home,-122.4189353,37.78143897,
,386061,,,1,activity,Home,-122.4186661,37.77649007,8.618
126628233,386061,1,WALK,2,leg,,,,
,386061,,,3,activity,othmaint,-122.4010583,37.79515918,16.917
126628237,386061,1,WALK,4,leg,,,,
,386061,,,5,activity,home,-122.4186661,37.77649007,
,386062,,,1,activity,Home,-122.4201566,37.78226077,7.305
126628585,386062,1,WALK_LRF,2,leg,,,,
,386062,,,3,activity,school,-122.3972529,37.78830073,15.206
126628589,386062,1,WALK_LRF,4,leg,,,,
,386062,,,5,activity,home,-122.4201566,37.78226077,
,418441,,,1,activity,Home,-122.4122078,37.77672517,7.147
137248721,418441,1,WALK,2,leg,,,,
,418441,,,3,activity,escort,-122.4121308,37.78544625,7.383
137248725,418441,1,WALK,4,leg,,,,
,418441,,,5,activity,home,-122.4135679,37.77789526,7.901
137248961,418441,1,WALK_LRF,6,leg,,,,
,418441,,,7,activity,work,-122.3979128,37.79135449,17.106
137248965,418441,1,WALK_LRF,8,leg,,,,
,418441,,,9,activity,home,-122.4110327,37.77877205,18.971
137248873,418441,1,WALK,10,leg,,,,
,418441,,,11,activity,othmaint,-122.4091923,37.78233057,20.716
137248877,418441,1,WALK,12,leg,,,,
,418441,,,13,activity,home,-122.4122078,37.77672517,
,418442,,,1,activity,Home,-122.4121834,37.77822627,8.018
137249225,418442,1,WALK,2,leg,,,,
,418442,,,3,activity,school,-122.4182493,37.77589003,8.02
137249229,418442,1,WALK,4,leg,,,,
,418442,,,5,activity,home,-122.4121834,37.77822627,
,595686,,,1,activity,Home,-122.4056681,37.77904012,7.479
195385257,595686,1,WALK_LOC,2,leg,,,,
,595686,,,3,activity,school,-122.4112118,37.7850657,16.342
195385261,595686,1,WALK,4,leg,,,,
,595686,,,5,activity,home,-122.4056681,37.77904012,
,644290,,,1,activity,Home,-122.4103461,37.78534022,12.056
211327433,644290,1,WALK_LOC,2,leg,,,,
,644290,,,3,activity,work,-122.4007624,37.78877596,22.346
211327437,644290,1,WALK_LOC,4,leg,,,,
,644290,,,5,activity,home,-122.4103461,37.78534022,
,644291,,,1,activity,Home,-122.4111592,37.78760609,7.689
211327761,644291,1,WALK,2,leg,,,,
,644291,,,3,activity,work,-122.4000557,37.79222395,17.963
211327765,644291,1,WALK,4,leg,,,,
,644291,,,5,activity,home,-122.4107881,37.78544745,19.112
211327673,644291,1,WALK_LOC,6,leg,,,,
,644291,,,7,activity,othmaint,-122.4015204,37.79210321,23.366
211327677,644291,1,TNC_SINGLE,8,leg,,,,
,644291,,,9,activity,home,-122.4111592,37.78760609,
,644292,,,1,activity,Home,-122.4142833,37.7866503,13.817
211328025,644292,1,WALK_LOC,2,leg,,,,
,644292,,,3,activity,school,-122.4176605,37.77892468,19.508
211328029,644292,1,WALK_LRF,4,leg,,,,
,644292,,,5,activity,othdiscr,-122.4095536,37.7872605,19.931
211328030,644292,1,WALK,6,leg,,,,
,644292,,,7,activity,home,-122.4142833,37.7866503,
,644476,,,1,activity,Home,-122.3889144,37.79068626,5.008
211388201,644476,1,WALK_LOC,2,leg,,,,
,644476,,,3,activity,escort,-122.4093292,37.78224356,6.277
211388205,644476,1,WALK_LOC,4,leg,,,,
,644476,,,5,activity,home,-122.3915653,37.7912349,7.214
211388441,644476,1,SHARED2FREE,6,leg,,,,
,644476,,,7,activity,work,-122.4021453,37.79055237,17.111
211388445,644476,1,SHARED3FREE,8,leg,,,,
,644476,,,9,activity,home,-122.3948201,37.78775588,18.246
211388329,644476,1,WALK,10,leg,,,,
,644476,,,11,activity,othdiscr,-122.3948392,37.78904956,18.312
211388333,644476,1,WALK,12,leg,,,,
,644476,,,13,activity,home,-122.3896758,37.79074516,18.446
211388353,644476,1,WALK,14,leg,,,,
,644476,,,15,activity,othmaint,-122.3987079,37.7882303,19.034
211388357,644476,1,WALK,16,leg,,,,
,644476,,,17,activity,home,-122.3889144,37.79068626,
,644477,,,1,activity,Home,-122.3946861,37.78704046,14.867
211388721,644477,1,WALK,2,leg,,,,
,644477,,,3,activity,shopping,-122.3912136,37.78819066,14.965
211388725,644477,1,WALK,4,leg,,,,
,644477,,,5,activity,home,-122.3946861,37.78704046,
,644478,,,1,activity,Home,-122.3972702,37.787536,11.073
211389033,644478,1,WALK_LOC,2,leg,,,,
,644478,,,3,activity,school,-122.4072546,37.7786463,19.641
211389037,644478,1,WALK_LRF,4,leg,,,,
,644478,,,5,activity,home,-122.3972702,37.787536,
,1263746,,,1,activity,Home,-122.4128069,37.7849134,7.718
414508737,1263746,1,WALK,2,leg,,,,
,1263746,,,3,activity,eatout,-122.3957222,37.79544456,14.925
414508741,1263746,1,WALK,4,leg,,,,
,1263746,,,5,activity,home,-122.4128069,37.7849134,
,1265898,,,1,activity,Home,-122.3897442,37.78507625,9.239
415214745,1265898,1,WALK_LRF,2,leg,,,,
,1265898,,,3,activity,othdiscr,-122.4121278,37.77113747,20.134
415214749,1265898,1,WALK_LRF,4,leg,,,,
,1265898,,,5,activity,home,-122.3897442,37.78507625,
,1266941,,,1,activity,Home,-122.4046172,37.78127867,13.328
415556913,1266941,1,WALK,2,leg,,,,
,1266941,,,3,activity,shopping,-122.406663,37.78524618,14.299
415556917,1266941,1,WALK,4,leg,,,,
,1266941,,,5,activity,home,-122.4046172,37.78127867,
,1356077,,,1,activity,Home,-122.4062008,37.77832404,10.693
444793569,1356077,1,WALK,2,leg,,,,
,1356077,,,3,activity,work,-122.4003655,37.79354739,18.943
444793573,1356077,1,WALK,4,leg,,,,
,1356077,,,5,activity,eatout,-122.4122238,37.78450497,19.178
444793574,1356077,1,WALK,6,leg,,,,
,1356077,,,7,activity,home,-122.4062008,37.77832404,
,1356259,,,1,activity,Home,-122.3987754,37.78245082,9.921
444853217,1356259,1,WALK,2,leg,,,,
,1356259,,,3,activity,shopping,-122.3905047,37.78639477,12.632
444853221,1356259,1,WALK,4,leg,,,,
,1356259,,,5,activity,home,-122.4021164,37.78117776,18.131
444853265,1356259,1,WALK,6,leg,,,,
,1356259,,,7,activity,work,-122.4005122,37.78735627,21.17
444853269,1356259,1,WALK,8,leg,,,,
,1356259,,,9,activity,home,-122.3987754,37.78245082,
,1356489,,,1,activity,Home,-122.4010262,37.78415843,10.621
444928617,1356489,1,WALK,2,leg,,,,
,1356489,,,3,activity,othmaint,-122.4077935,37.77186391,12.576
444928621,1356489,1,WALK,4,leg,,,,
,1356489,,,5,activity,home,-122.4010262,37.78415843,
,1424997,,,1,activity,Home,-122.4205716,37.78321717,11.084
467399281,1424997,1,WALK_LRF,2,leg,,,,
,1424997,,,3,activity,shopping,-122.3945357,37.78738832,11.144
467399285,1424997,1,WALK_LRF,4,leg,,,,
