Number,Date ,Time,T5-T0 (Mins.),Location,Class,Affected Volume,Total Excess Travel Time,Lattitude,Longitude,Lanes,Lanes Closed,Capacity reduction,Responding IMTs,MATSim Link,Start,End,,,,,,
1,3/4/2018,11:41:15,44,500 S I15 SB,1,1545,45.33,40.74256,-111.90395,5,3,0.3784,1,30673,42075,44715,,,Severity Code,Hours of Excess Travel Time,Frequency,
2,3/6/2018,9:02:50,59,3800 S I215E SB,1,8933,14.64,40.685668,-111.951657,3,2,0.4938,1,30663,32570,36110,,,1,0-200,66,
3,3/7/2018,7:31:06,33,7762 E I80 EB,1,4092,46.95,40.75179,-111.716,3,1,0.3333,1,24441,27066,29046,,,2,200-400,35,
4,3/7/2018,9:14:42,16,281930 I15 NB; MM 282 I15 NB,1,6982,52.16,40.40017,-111.84805,5,1,0.2,1,33522,33282,34242,,,3,400-800,37,
5,3/8/2018,16:27:17,26,900 S I15 SB,1,6035,175.65,40.75427,-111.91111,5,2,0.4,2,33607,59237,60797,,,4,800-2000,32,
6,3/13/2018,14:32:03,17,3300 S I15 SB,1,27602,155.73,40.69989,-111.9019,4,1,0.25,1,24897,52323,53343,,,5,2000+,19,
7,3/15/2018,12:18:41,65,7682 E I80 WB,1,4605,14.69,40.74307,-111.73204,3,2,0.3548,2,24924,44321,48221,,,Total # Of Incidents Analyzed,,189,
8,3/16/2018,11:34:20,17,5400 S I15 NB,1,5532,104.46,40.6383,-111.90394,5,2,0.2222,2,24970,41660,42680,,,,,,
9,3/21/2018,9:08:23,38,274983 I15 NB; MM 275 I15 NB,1,10792,75.22,40.34708,-111.76422,6,1,0.1667,1,24953,32903,35183,,,,,,
10,3/26/2018,9:27:01,60,11400 S I15 SB,1,15160,198.83,40.5566,-111.89757,6,1,0.1667,2,2841,34021,37621,,,,,,
11,3/29/2018,8:32:33,15,278101 I15 NB; MM 278 I15 NB,1,10240,166.39,40.38409,-111.83057,5,1,0.2,2,31635,30753,31653,,,,,,
12,5/1/2018,6:50:18,50,269012 I15 SB,1,2696,146.6,40.27142,-111.71544,5,1,0.2,1,32819,24618,27618,,,,,,
13,5/2/2018,15:55:00,9,2200 S I15 NB,1,2382,32.11,40.71557,-111.90418,4,2,0.5,2,24986,57300,57840,,,,,,
14,5/3/2018,9:13:30,10,5800 S I15 SB,1,4604,82.77,40.63681,-111.90454,6,2,0.2778,1,24342,33210,33810,,,,,,
15,5/4/2018,7:27:56,40,1350 S I215W NB,1,7086,6.81,40.74967,-111.94859,5,1,0.2,1,24929,26876,29276,,,,,,
16,5/4/2018,14:20:42,75,400 E I80  WB,1,7945,37.55,40.71814,-111.89111,5,2,0.2038,1,24865,51642,56142,,,,,,
17,5/8/2018,12:13:59,18,7762 E I80 EB,1,741,7.59,40.74914,-111.70985,3,2,0.6667,2,24915,44039,45119,,,,,,
