ID,x,y,IMTs,Cap reduction,Start,End,Year
1,-111.902118,40.592954,1,0.17,52407,56780,2018
2,-111.895973,40.550105,1,0.33,54768,59514,2018
3,-111.902252,40.480607,1,0.29,63053,64899,2018
4,-111.792753,40.36538,1,0.17,26958,30293,2018
5,-111.763625,40.346677,2,0.17,28747,30780,2018
6,-111.90976,40.749661,1,0.38,42075,44640,2018
7,-111.89995,40.578738,2,0.4,55957,59828,2018
8,-111.79766,40.683299,2,0.49,32570,36057,2018
9,-111.950757,40.760462,1,0.33,60075,67931,2018
10,-111.708988,40.74883,2,0.33,27066,32767,2018
11,-111.792753,40.36538,2,0.33,32201,36297,2018
12,-111.863787,40.410753,1,0.2,33282,35151,2018
13,-111.929317,40.64432,2,0.8,62707,66744,2018
14,-111.90976,40.749661,1,0.4,59237,62540,2018
15,-111.89995,40.578738,1,0.4,35494,39608,2018
16,-111.904691,40.722359,1,0.28,58403,59580,2018
17,-111.904753,40.63581,2,0.34,40421,46185,2018
18,-111.90397,40.707874,1,0.25,52323,54256,2018
19,-111.849766,40.401041,2,0.32,53269,56812,2018
20,-111.725713,40.287343,1,0.33,62936,65018,2018
21,-111.895973,40.550105,1,0.47,25707,26288,2018
22,-111.724694,40.747091,2,0.35,44321,49214,2018
23,-111.79766,40.683299,2,0.33,60481,65711,2018
24,-111.709159,40.079244,1,1,20487,34143,2018
25,-111.904753,40.63581,1,0.22,41660,42793,2018
26,-111.890969,40.521023,1,0.22,59819,64900,2018
27,-111.824748,40.380471,2,0.34,31453,33282,2018
28,-111.763625,40.346677,3,0.17,32903,35922,2018
29,-111.915765,40.791314,1,0.25,57940,61719,2018
30,-111.892928,40.535851,2,0.17,34021,37887,2018
31,-111.917854,40.817506,2,0.61,59435,62526,2018
32,-111.835351,40.392015,1,0.26,28488,31067,2018
33,-111.913789,40.76365,1,0.25,58717,61020,2018
34,-111.902067,40.649838,2,0.4,46610,52555,2018
35,-111.80837,40.373388,2,0.2,30753,32963,2018
36,-111.903609,40.707879,2,0.25,52353,56160,2018
37,-111.902495,40.592859,1,0.34,64082,68453,2018
38,-111.905108,40.607203,3,0.8,33628,40033,2018
39,-111.902118,40.592954,1,0.5,54617,56604,2018
40,-111.899119,40.564329,2,0.29,46728,50830,2018
41,-111.903609,40.707879,1,0.33,56908,59520,2018
42,-111.905108,40.607203,2,0.33,58543,65994,2018
43,-111.849583,40.401208,2,0.14,60094,63809,2018
44,-111.949912,40.731966,2,0.5,62467,63060,2018
45,-111.902881,40.69359,1,0.33,62643,64140,2018
46,-111.905404,40.607174,1,0.14,65858,67419,2018
47,-111.9533,40.717758,1,0.25,36638,39594,2018
48,-111.890969,40.521023,1,0.67,20270,25740,2018
49,-111.918,40.817597,1,0.25,39685,43674,2018
50,-111.89048,40.4313,1,0.14,44535,47892,2018
51,-111.905404,40.607174,2,1,32199,34652,2018
52,-111.720752,40.067893,3,0.33,52655,65392,2018
53,-111.890954,40.506678,2,0.29,28476,31049,2018
54,-111.903011,40.442142,1,0.17,63283,66720,2018
55,-111.891185,40.492346,2,0.33,33653,38034,2018
56,-111.902181,40.679062,3,0.29,62276,65766,2018
57,-111.910296,40.7777,1,0.2,62977,64320,2018
58,-111.903011,40.442142,2,0.33,49024,54231,2018
59,-111.902118,40.592954,3,0.83,67314,76975,2018
60,-111.658646,40.122431,1,0.67,25123,30333,2018
61,-111.824748,40.380471,1,0.5,46653,47400,2018
62,-111.717966,40.274384,1,0.2,24618,27615,2018
63,-111.951031,40.76044,2,0.68,63329,68882,2018
64,-111.899119,40.564329,1,0.21,55414,59417,2018
65,-111.904219,40.722339,1,0.5,57300,58652,2018
66,-111.902361,40.649848,1,0.28,33210,34004,2018
67,-111.902118,40.592954,1,0.17,49878,52323,2018
68,-111.824926,40.380301,1,0.3,62836,65599,2018
69,-111.949621,40.731932,1,0.2,26876,28800,2018
70,-111.855024,40.719772,1,0.2,51642,56100,2018
71,-111.904691,40.722359,1,0.3,54463,59876,2018
72,-111.724589,40.746955,2,0.67,44039,45725,2018
73,-111.900284,40.578742,2,0.86,51846,56090,2018
74,-111.677837,40.226604,1,0.25,64474,68440,2018
75,-111.902541,40.693515,2,0.5,27229,30819,2018
76,-111.90397,40.707874,1,0.5,58517,60879,2018
77,-111.85839,40.630293,3,1,28874,36591,2018
78,-111.726161,40.316406,4,0.8,39258,50311,2018
79,-111.90475,40.736823,1,0.2,50051,52981,2018
80,-111.80837,40.373388,2,0.4,45572,53763,2018
81,-111.901951,40.480451,3,0.34,58334,65735,2018
82,-111.689206,40.238135,1,0.24,63361,66515,2018
83,-111.992582,40.765097,1,0.33,59267,64020,2018
84,-111.792922,40.36521,1,0.33,64686,69556,2018
85,-111.899119,40.564329,1,0.2,55472,60271,2018
86,-111.808465,40.373185,2,0.26,51570,55815,2018
87,-111.824748,40.380471,1,0.47,25703,29535,2018
88,-111.904219,40.722339,1,0.27,62658,65741,2018
89,-111.909412,40.749797,3,0.53,55545,62280,2018
90,-112.010754,40.770881,1,0.25,55762,60240,2018
91,-111.902067,40.649838,1,0.2,49394,53547,2018
92,-111.902067,40.649838,1,0.2,66196,70195,2018
93,-111.915765,40.791314,1,0.49,57963,59127,2018
94,-111.9533,40.717758,2,0.5,29817,34731,2018
95,-111.902118,40.592954,2,0.4,46755,52145,2018
96,-111.910296,40.7777,1,0.2,53773,58079,2018
97,-111.900284,40.578742,3,0.22,29402,35260,2018
98,-111.792753,40.36538,1,0.17,55522,61009,2018
99,-111.835351,40.392015,2,0.2,32192,34374,2018
100,-111.792753,40.36538,2,0.27,33834,36491,2018
101,-111.903011,40.442142,2,0.17,55113,57732,2018
102,-111.909412,40.749797,1,0.25,63559,66900,2018
103,-111.918,40.817597,1,0.25,32281,34065,2018
104,-111.902361,40.649848,1,0.38,33463,36587,2018
105,-111.749203,40.337197,2,0.36,54788,59495,2018
106,-111.763625,40.346677,2,0.17,61353,65813,2018
107,-111.916129,40.791232,2,0.68,64336,72120,2018
108,-111.646959,40.147127,2,1.18,5071,16880,2018
109,-111.949105,40.803496,1,0.33,56029,62338,2018
110,-111.904219,40.722339,1,0.57,56513,63318,2018
111,-111.89995,40.578738,1,0.17,46852,51437,2018
112,-111.905108,40.607203,1,0.38,36640,40874,2018
113,-111.901521,40.664677,2,0.2,49274,50461,2018
114,-111.915765,40.791314,2,0.25,65498,69014,2018
115,-111.903609,40.707879,2,0.17,28900,30898,2018
116,-111.905066,40.63583,1,0.2,66830,73392,2018
117,-111.929317,40.64432,2,0.25,24033,26610,2018
118,-111.903609,40.707879,1,0.17,56338,57655,2018
119,-111.784429,40.715532,2,0.65,31799,34128,2018
120,-111.899119,40.564329,1,0.17,28244,30483,2018
121,-111.890772,40.431127,1,0.75,31560,33291,2018
122,-111.896336,40.550056,2,0.17,42174,45565,2018
123,-111.890954,40.506678,1,0.4,30633,35098,2018
124,-111.90118,40.664674,1,0.2,48277,51310,2018
125,-111.903609,40.707879,2,0.2,28164,29980,2018
126,-111.903876,40.621691,1,0.17,55334,58687,2018
127,-111.910296,40.7777,1,0.2,59725,63373,2018
128,-111.902361,40.649848,1,0.17,52693,57102,2018
129,-111.895281,40.634628,2,0.88,66495,68374,2018
130,-111.725931,40.301853,1,0.36,44585,50340,2018
131,-111.904219,40.722339,1,0.35,55791,60233,2018
132,-111.903609,40.707879,1,0.25,62508,65724,2018
133,-111.891185,40.492346,1,0.2,63163,64861,2018
134,-111.878214,40.420267,1,0.29,64896,69060,2018
135,-111.902118,40.592954,2,0.41,45776,52140,2018
136,-111.890969,40.521023,4,0.62,52529,62395,2018
137,-111.726161,40.316406,1,0.17,53329,57726,2018
138,-111.905066,40.63583,4,0.36,39488,42871,2018
139,-111.855024,40.719772,3,0.33,50562,54003,2018
140,-111.902181,40.679062,1,0.14,64929,66792,2018
141,-111.904393,40.736807,2,0.25,30344,36097,2018
142,-111.90475,40.736823,2,0.33,32405,34583,2018
143,-111.905404,40.607174,1,0.32,60279,64380,2018
144,-111.878214,40.420267,1,0.2,29000,31947,2018
145,-111.902881,40.69359,1,0.38,60655,66922,2018
146,-111.896336,40.550056,1,0.5,65899,71367,2018
147,-111.902881,40.69359,1,0.29,60860,66486,2018
148,-111.929446,40.644071,2,0.2,27946,32936,2018
149,-111.902541,40.693515,1,0.48,27967,30101,2018
150,-111.892928,40.535851,1,0.17,39059,42582,2018
151,-111.905066,40.63583,2,0.14,60438,65078,2018
152,-111.901521,40.664677,1,0.14,61571,64483,2018
153,-111.725416,40.287344,2,0.21,29037,32448,2018
154,-111.902495,40.592859,1,0.14,45411,51436,2018
155,-111.749203,40.337197,1,0.17,58444,60579,2018
156,-111.863787,40.410753,2,0.2,26937,30556,2018
157,-111.890954,40.506678,1,0.17,27895,31961,2018
158,-111.778179,40.356026,2,0.33,63228,65839,2018
